id_slug,canonical_term,short_definition,long_definition,category,priority,classification,status
pull-request-merge-request,Pull Request (PR) / Merge Request (MR),"A request to merge a set of code changes from one branch into another, typically triggering a Code Review before the merge is approved.","The standard mechanism engineers use to propose, review, and integrate changes; PMs may see PR status referenced as a proxy for how close a feature is to being merged and shippable.",Technical for PMs,2,Technical,active
qa,QA (Quality Assurance),The discipline and process of testing software to identify defects and ensure it meets quality standards before release.,"Distinct from Unit Test/Integration Test (which are specific automated testing techniques) — QA broadly covers all testing activities, automated and manual, that happen before and around a release.",Technical for PMs,1,Technical,active
race-condition,Race Condition,A software bug that occurs when the behavior of a system depends on the unpredictable timing or ordering of concurrent operations.,"A notoriously tricky class of bug to reproduce and fix, since it may only occur under specific timing conditions — worth knowing as a category of issue that can take engineering longer to diagnose than a typical bug.",Technical for PMs,2,Technical,active
recommendation-engine,Recommendation Engine,"A system that analyzes data (like past behavior) to suggest relevant content, products, or actions to a user.",Powers features like 'you might also like' — PMs scoping personalization features need to understand what data and algorithmic approach the recommendation engine relies on.,Technical for PMs,2,Technical,active
refactoring,Refactoring,"Restructuring existing code to improve its internal structure and maintainability, without changing its external behavior.","Important 'invisible' engineering work that doesn't add new user-facing functionality but keeps the codebase healthy enough to build new features on top of quickly — PMs need to budget time for it, not just feature work.",Technical for PMs,1,Technical,active
regression,Regression,"A bug where something that previously worked correctly stops working, usually as an unintended side effect of a new change.",A key reason for regression testing (rerunning existing tests after a change) — a shipped feature breaking something unrelated is one of the most common and frustrating failure modes in software delivery.,Technical for PMs,1,Technical,active
repository,Repository (Repo),"A storage location for a project's code and its version history, managed by a version-control system like Git.",The basic unit of organization for a codebase — PMs will hear 'repo' used casually to refer to a specific project's codebase.,Technical for PMs,2,Technical,active
responsive-design,Responsive Design,A design/development approach that makes a web page or app adapt its layout to different screen sizes and devices.,"The standard practice for modern web products, given the wide range of device sizes users access a product from; see also Breakpoints.",Technical for PMs,2,Technical,active
rest,REST,Representational State Transfer — an architectural style for designing networked APIs based on standard HTTP methods and resource-based URLs.,The most common API design paradigm; see REST API for the applied concept.,Technical for PMs,2,Technical,active
rest-api,REST API (Representational State Transfer),"An API designed according to REST principles, using standard HTTP verbs (GET, POST, PUT, DELETE) to interact with resources identified by URLs.",The most widely used API architecture style; PMs encounter it when scoping integrations or partner API access.,Technical for PMs,2,Technical,active
scalability,Scalability,"A system's ability to handle growing amounts of work (more users, more data, more traffic) without a significant drop in performance.",A key non-functional requirement PMs need to consider early — a feature that works fine for 100 users may need real engineering investment to work for 1 million.,Technical for PMs,1,Technical,active
sdk,SDK (Software Development Kit),"A collection of tools, libraries, and documentation that helps developers build applications for a specific platform or integrate with a specific service.",Relevant when a PM is scoping a platform strategy — offering an SDK is a common way to let third-party developers build on top of a product.,Technical for PMs,1,Technical,active
sdlc,SDLC (Software Development Life Cycle),"The structured process a team follows to plan, build, test, and release software, typically including phases like requirements, design, development, testing, and deployment.","A general umbrella term for the overall development process, regardless of whether the specific methodology used is Agile, Waterfall, or something else.",Technical for PMs,2,Technical,active
sql,SQL (Structured Query Language),The standard language used to query and manage data in relational databases.,"PMs don't need to write SQL to do their jobs, but basic familiarity helps when pulling simple data insights directly or understanding what analysts/engineers mean by 'running a query.'",Technical for PMs,2,Technical,active
tech-stack,Tech stack,"The combination of programming languages, frameworks, and tools used to build and run a product.","PMs benefit from knowing their product's tech stack at a high level, since it affects hiring, third-party integration options, and what kinds of features are easy or hard to build.",Technical for PMs,2,Technical,active
throughput,Throughput,"The amount of work (requests, transactions, data) a system can process in a given period of time.",A key performance/capacity metric alongside Latency — relevant when discussing whether infrastructure can handle expected load.,Technical for PMs,2,Technical,active
two-factor-authentication,Two-Factor Authentication (2FA),"A security process requiring users to verify their identity through two different methods (e.g., password plus a code sent to their phone).",A common security feature PMs are asked to scope for account protection — adds friction to login but significantly reduces the risk of unauthorized account access.,Technical for PMs,2,Technical,active
unit-test,Unit Test,"An automated test that verifies a small, isolated piece of code (like a single function) behaves correctly.",The smallest and fastest layer of the testing pyramid; a codebase with strong unit test coverage generally lets engineering ship changes with more confidence and speed.,Technical for PMs,2,Technical,active
unit-testing,Unit testing,The practice of writing and running Unit Tests.,See Unit Test.,Technical for PMs,2,Technical,active
version-control,Version Control,"A system for tracking and managing changes to code (or other files) over time, allowing multiple people to collaborate without overwriting each other's work.",Git is the dominant version control system in modern software development; foundational infrastructure that makes collaborative engineering work possible at scale.,Technical for PMs,2,Technical,active
versioning,Versioning,"The practice of assigning identifiers (version numbers) to distinct states of a product, API, or codebase over time.",Relevant to PMs when discussing API stability (breaking vs. non-breaking changes) or app release numbering communicated to users/partners.,Technical for PMs,2,Technical,active
webhook,Webhook,"An automated message sent from one application to another when a specific event occurs, allowing real-time integration between systems.","A common mechanism for integrations — e.g., 'notify our system whenever a payment succeeds' — relevant when scoping how a product connects to third-party tools.",Technical for PMs,1,Technical,active
websocket,WebSocket,"A communication protocol that allows a persistent, two-way connection between a client and server, enabling real-time data exchange.","Used for features requiring live updates (chat, live notifications, collaborative editing) where constantly polling a server would be inefficient.",Technical for PMs,2,Technical,active
xml,XML,"Extensible Markup Language — a structured, tag-based data format, historically common for data exchange before JSON became more dominant.","Still used in many legacy systems and specific industries (e.g., certain enterprise or government integrations); PMs may encounter it when integrating with older systems.",Technical for PMs,2,Technical,active
change-enablement,Change Enablement,"The practice of preparing, supporting, and helping people adopt a change (process, tool, or product) successfully.","Overlaps with Change Management but leans more toward practical enablement — training, documentation, and support that helps a change actually stick.",Product Operations,2,Non-Technical,active
change-management,Change Management,"A structured approach to preparing an organization or its customers for a significant change, minimizing disruption and resistance.","Relevant when a product update significantly changes an existing workflow — good change management (communication, training, phased rollout) reduces user backlash and support burden.",Product Operations,2,Non-Technical,active
change-management-principles,Change Management Principles,The underlying guidelines and best practices that inform effective Change Management efforts.,See Change Management.,Product Operations,2,Non-Technical,active
concept-review,Concept Review,An internal review gate where a proposed product concept is evaluated by stakeholders before it proceeds to fuller investment.,An early checkpoint in a product development process meant to catch weak ideas before significant resources are committed.,Product Operations,1,Non-Technical,active
data-migration,Data Migration,"The process of moving data from one system, format, or storage location to another.","A common source of technical risk in product changes (platform migrations, replatforming) — PMs scoping this kind of work need to account for data integrity checks and potential downtime.",Product Operations,2,Non-Technical,active
design-ops,Design Ops,"A discipline focused on optimizing the design team's processes, tools, and workflows so designers can focus on design work rather than operational overhead.","The design-team counterpart to Product Operations — manages things like design tooling, design system governance, and cross-team design processes.",Product Operations,1,Non-Technical,active
enterprise-architecture-planning,Enterprise Architecture Planning,"The process of designing and planning how an organization's technology systems, data, and processes should be structured to support business strategy.","Typically a broader, company-wide activity than a single product roadmap; product teams may need to align their plans with enterprise architecture constraints in larger organizations.",Product Operations,2,Non-Technical,active
enterprise-architecture-roadmap,Enterprise Architecture Roadmap,A plan showing how an organization's enterprise architecture will evolve over time.,See Enterprise Architecture Planning — the roadmap artifact that communicates the planned evolution.,Product Operations,2,Non-Technical,active
enterprise-feedback-management,Enterprise Feedback Management,"Systems and processes for collecting, organizing, and acting on feedback at scale across a large organization's many products or customer touchpoints.","Relevant for large enterprises with feedback coming from many products, regions, or channels that need centralized management rather than ad hoc handling.",Product Operations,2,Non-Technical,active
environment,Environment,"A distinct instance of a software system's infrastructure used for a specific purpose (e.g., development, testing, staging, production).",PMs will hear features described as being 'in staging' or 'in prod' — understanding environments helps clarify exactly what stage a feature is at before it's live for real users.,Product Operations,2,Non-Technical,active
feature-audit,Feature Audit,"A systematic review of a product's existing features to assess their usage, value, and whether they should be kept, improved, or removed.",Helps prevent feature bloat by periodically checking whether every feature still earns its place in the product.,Product Operations,1,Non-Technical,active
feature-bloat,Feature Bloat,"The accumulation of too many features in a product, making it complex, cluttered, or harder to use.",A common failure mode when teams keep adding features without regularly pruning underused or low-value ones — see Feature Audit as a corrective practice.,Product Operations,1,Non-Technical,active
feature-creep,Feature Creep,"The gradual, often unplanned expansion of a specific feature's scope beyond its original intent.",Similar to Scope creep but specifically at the feature level — a feature that keeps growing in complexity as more edge cases and requests get added.,Product Operations,1,Non-Technical,active
feature-factory,Feature Factory,A critical term for a product organization that ships features continuously without connecting them to measurable outcomes or user value.,A cautionary label — 'feature factory' teams optimize for output (number of things shipped) rather than outcome (whether those things actually help users or the business).,Product Operations,1,Non-Technical,active
feature-kickoff,Feature Kickoff,"A meeting or process step marking the formal start of work on a specific feature, aligning the team on scope and goals before development begins.","Ensures everyone involved (design, engineering, QA) starts with a shared understanding rather than discovering misalignment mid-build.",Product Operations,2,Non-Technical,active
feature-outcome-assessment,Feature Outcome Assessment,A review conducted after a feature ships to evaluate whether it achieved its intended goals.,"Closes the loop between the goal a feature was built to achieve and the actual result — without this step, teams risk continuing to invest in features that aren't working.",Product Operations,2,Non-Technical,active
feature-release,Feature Release,The act of making a new feature available to users.,"Can range from a full public launch to a controlled Feature Flag rollout to a subset of users, depending on the release strategy.",Product Operations,2,Non-Technical,active
feature-score,Feature Score,"A numeric value assigned to a feature idea based on a prioritization framework, used to rank it against other candidates.",The output of applying frameworks like RICE or ICE to a specific feature — used to compare and sequence backlog items.,Product Operations,2,Non-Technical,active
features,Features,Plural of Feature — the discrete pieces of functionality that make up a product.,"See Feature Audit, Feature Bloat, and related entries for how features are managed as a portfolio, not just individually.",Product Operations,2,Non-Technical,active
feedback-loop,Feedback Loop,"A cycle where the output or results of an action inform and adjust future action — in product terms, using user feedback/data to continuously improve the product.","A core concept behind iterative product development; a short, tight feedback loop lets teams learn and adjust faster than a slow, infrequent one.",Product Operations,2,Non-Technical,active
feedback-management,Feedback Management,"The systematic process of collecting, organizing, prioritizing, and acting on feedback from users or stakeholders.","See Customer Feedback Analysis and Enterprise Feedback Management for related, more specific practices.",Product Operations,2,Non-Technical,active
idea-backlog,Idea Backlog,"A running list of product ideas that haven't yet been vetted, prioritized, or committed to the main backlog.","Serves as an intake point for ideas from any source (customers, team members, leadership) before they're evaluated and potentially promoted into the actual product backlog.",Product Operations,2,Non-Technical,active
idea-management,Idea Management,"The process of capturing, evaluating, and tracking ideas from intake through to a decision about whether to pursue them.","Distinct from Innovation Management in scope — idea management is often the more tactical, day-to-day intake and triage process feeding into broader innovation strategy.",Product Operations,2,Non-Technical,active
incident-management-practice,Incident Management Practice,"The process an organization follows to detect, respond to, and resolve unplanned service disruptions or outages.","PMs are often involved in incident response for customer communication and post-incident review, even if they don't own the technical resolution itself.",Product Operations,2,Non-Technical,active
legacy-product,Legacy Product,"An older product (or version) that's still in use but based on outdated technology, architecture, or design compared to current standards.",Legacy products often require ongoing maintenance investment and create tension with newer product priorities — a common source of roadmap tradeoff discussions.,Product Operations,2,Non-Technical,active
method-of-procedure,Method of Procedure,"A detailed, step-by-step document outlining exactly how to execute a specific operational task, often used for high-risk changes like deployments or migrations.","Common in operations-heavy or infrastructure contexts, ensuring a risky procedure is executed consistently and with a clear rollback plan if something goes wrong.",Product Operations,2,Non-Technical,active
portfolio-management,Portfolio Management,The practice of overseeing and balancing investment across a company's full set of products or initiatives.,"Operates at a level above individual product roadmaps — decides how much investment goes to which products, and when to sunset underperforming ones.",Product Operations,2,Non-Technical,active
product-council,Product Council,"A cross-functional governance group (often senior leaders) that reviews and approves major product decisions, investments, or direction changes.","Provides a formal decision-making body for significant product bets, especially in larger organizations where individual PMs don't have unilateral authority over big investments.",Product Operations,2,Non-Technical,active
product-delivery,Product Delivery,"The process of building and shipping product work, as distinct from the discovery/strategy work that decides what to build.",The 'delivery' side of the discovery/delivery split discussed under Dual-Track Agile — focused on execution once direction is set.,Product Operations,2,Non-Technical,active
product-development-cycle,Product Development Cycle,"The recurring sequence of stages (idea, design, build, test, launch) a product or feature moves through from concept to release.",See Product Development Process — largely interchangeable terms describing the same overall flow.,Product Operations,2,Non-Technical,active
product-development-process,Product Development Process,The defined sequence of steps and gates an organization follows to move a product idea from concept to launch.,"Varies significantly by company — some use lightweight, continuous flows (Agile/Lean), others use more formal stage-gate processes with defined checkpoints.",Product Operations,1,Non-Technical,active
product-enablement,Product Enablement,"Providing internal teams (sales, support, marketing) with the knowledge, materials, and training needed to sell, support, or represent a product effectively.","Product Marketing often leads this, but PMs are usually the source of the underlying product knowledge that gets translated into enablement materials.",Product Operations,2,Non-Technical,active
product-features,Product Features,"The set of functional capabilities that make up a product, viewed collectively.",See Features.,Product Operations,2,Non-Technical,active
product-lifecycle,Product Lifecycle,"The stages a product goes through from introduction through growth, maturity, and eventual decline or sunset.","A classic strategic framework for thinking about how a product's priorities and investment level should shift as it matures — a growth-stage product needs different things than a mature, stable one.",Product Operations,1,Non-Technical,active
product-management-audit,Product Management Audit,"A structured review of a product management team's practices, processes, and output to assess maturity or identify improvement areas.",Often conducted by leadership or an external consultant to benchmark a PM organization's effectiveness.,Product Operations,2,Non-Technical,active
product-management-platform,Product Management Platform,"Software used specifically to support product management work — roadmapping, backlog management, feedback collection, and analytics.",Examples of the category include tools like Productboard and Aha! — PMs' day-to-day toolkit for managing the artifacts and processes covered elsewhere in this glossary.,Product Operations,2,Non-Technical,active
product-management-tools,Product Management Tools,"The category of software tools PMs use to do their jobs, spanning roadmapping, analytics, feedback, and collaboration tools.",See Product Management Platform — broader term for the same category of supporting software.,Product Operations,2,Non-Technical,active
product-onboarding,Product Onboarding,"The process of introducing a new user to a product, distinct from employee onboarding.",See Onboarding — this entry specifically disambiguates the product-usage meaning from the (also common) HR meaning of the word.,Product Operations,2,Non-Technical,active
product-operations,Product Operations (Product Ops),"A discipline that provides the tools, processes, and data infrastructure product teams need to work efficiently, similar to how Sales Ops or DesignOps support their functions.","Handles things like roadmap tooling, feedback systems, and process standardization across product teams, freeing individual PMs to focus on strategy and execution rather than operational overhead.",Product Operations,1,Non-Technical,active
product-optimization,Product Optimization,The ongoing practice of refining a product's features and experience to improve performance against key goals.,"General umbrella term for continuous improvement work — could involve UX tweaks, performance improvements, or feature refinements based on data and feedback.",Product Operations,2,Non-Technical,active
product-planning,Product Planning,"The process of deciding what a product team will work on and in what sequence, translating strategy into an actionable roadmap.","Sits between Product Strategy (the why) and execution (the how) — the activity of turning strategic priorities into a concrete, sequenced plan.",Product Operations,2,Non-Technical,active
product-portfolio-management,Product Portfolio Management,"The discipline of managing a company's full set of products as a coordinated portfolio, balancing investment, risk, and strategic fit.",See Portfolio Management — this entry applies the concept specifically to a company's product line.,Product Operations,2,Non-Technical,active
product-requirements-management,Product Requirements Management,"The ongoing process of capturing, organizing, and maintaining a product's requirements throughout its development lifecycle.","Encompasses more than writing a single PRD — includes managing requirement changes, traceability, and version history as a product evolves.",Product Operations,2,Non-Technical,active
product-roadmap,Product Roadmap,"A high-level, visual plan showing the direction a product will take over time — the themes, priorities, and (sometimes) rough timing of upcoming work.",Communicates strategic intent to stakeholders without necessarily committing to exact dates or a fixed feature list; formats vary from timeline-based to outcome/theme-based depending on the organization's philosophy about how much certainty to project.,Product Operations,1,Non-Technical,active
project-roadmap,Project Roadmap,"A plan showing the timeline and milestones for a specific project, as distinct from an ongoing product's broader roadmap.","More time-bound and execution-focused than a Product Roadmap, which spans a product's ongoing evolution rather than a single bounded project.",Product Operations,2,Non-Technical,active
recall,Recall,"Removing or correcting a product (or, in a data-quality sense, a metric) that was found to be defective or problematic after release.","In a product-safety or quality sense, distinct from the machine-learning statistical metric of the same name — context determines which meaning applies.",Product Operations,2,Non-Technical,active
release-management,Release Management,"The process of planning, scheduling, and controlling how and when software releases move through development to production.","Coordinates the many moving pieces (code readiness, QA, stakeholder communication, rollback plans) involved in getting a release out safely and predictably.",Product Operations,1,Non-Technical,active
roadmapping-tool,Roadmapping Tool,"Software specifically designed to help teams build, visualize, and communicate product roadmaps.",See Product Management Platform — roadmapping tools are one common category within the broader PM software landscape.,Product Operations,2,Non-Technical,active
shadow-it,Shadow IT,Technology systems or tools used within an organization without explicit approval or oversight from the central IT department.,"Relevant to PMs building enterprise/internal tools — shadow IT often emerges when official tools don't meet a team's needs, and can be a signal of unmet product requirements.",Product Operations,2,Non-Technical,active
staging-environment,Staging Environment,"A pre-production environment that closely mirrors the live production system, used for final testing before a release goes live.","The last checkpoint before production — catches issues that only show up in a production-like setting, which a local development environment might not reveal.",Product Operations,2,Non-Technical,active
stakeholder-analysis,Stakeholder Analysis,"The practice of identifying stakeholders and understanding their interests, influence, and expectations regarding a product or initiative.","Helps PMs plan communication and manage competing priorities by understanding who cares about what, and how much influence they have over the outcome.",Product Operations,1,Non-Technical,active
stakeholder-management,Stakeholder Management,"The ongoing practice of communicating with, aligning, and managing the expectations of the various stakeholders involved in or affected by a product.","A significant, continuous part of the PM role — as much about relationship management and clear communication as it is about the product itself.",Product Operations,1,Non-Technical,active
alpha-test,Alpha Test,"Internal testing of a product or feature, conducted by employees or a very limited group, before wider external testing.","The earliest, most limited testing stage — meant to catch major issues before the product is exposed to any real (external) users.",Deployment,2,Non-Technical,active
alpha-testing,Alpha Testing,The activity/phase of conducting Alpha Test testing.,See Alpha Test.,Deployment,2,Non-Technical,active
beta-test,Beta Test,Testing a product or feature with a limited group of real external users before general release.,"Comes after Alpha Test in the typical release progression — provides real-world feedback and surfaces issues internal testing might miss, while still limiting exposure/risk.",Deployment,2,Non-Technical,active
beta-testing,beta testing,See Beta Test — testing with a limited group of real external users before general release.,See Beta Test.,Deployment,1,Non-Technical,active
ci-cd,CI/CD (Continuous Integration / Continuous Delivery),"A software engineering practice of automatically integrating, testing, and preparing code changes for release frequently and reliably.","CI (Continuous Integration) means frequently merging code changes with automated testing; CD can mean Continuous Delivery (code is always in a releasable state, but deployment is a manual trigger) or Continuous Deployment (every passing change deploys automatically) — worth being clear on which CD is meant.",Deployment,1,Non-Technical,active
continuous-delivery,Continuous Delivery,"A practice where code changes are automatically prepared for a release to production, but the actual release is triggered manually.","Sits between Continuous Integration and full Continuous Deployment — every change is release-ready, but a human decides when to actually ship it.",Deployment,2,Non-Technical,active
continuous-deployment,Continuous Deployment,"A practice where every code change that passes automated tests is automatically released to production, with no manual approval step.","The most automated end of the CI/CD spectrum — requires high confidence in automated testing, since there's no human gate before changes reach real users.",Deployment,1,Non-Technical,active
continuous-integration,Continuous Integration,"A practice where developers frequently merge their code changes into a shared codebase, with automated builds and tests run on each merge.","Catches integration issues early and often, rather than letting them accumulate until a large, risky merge — the 'CI' in CI/CD.",Deployment,1,Non-Technical,active
deployment,Deployment,The process of releasing a new version of software to a live environment where it becomes available for use.,"Can refer to deploying to any environment (staging, production) but most often means releasing to production, making a change live for real users.",Deployment,1,Non-Technical,active
devops,DevOps,"A set of practices and culture combining software development (Dev) and IT operations (Ops) to enable faster, more reliable software delivery.","Emphasizes automation, collaboration between traditionally separate teams, and continuous delivery — the organizational/cultural counterpart to technical practices like CI/CD.",Deployment,1,Non-Technical,active
end-of-life,End-of-Life (EOL),"The point at which a product, feature, or version is officially discontinued and no longer supported or maintained.","A planned event PMs manage deliberately, including customer communication and migration paths, rather than something that just happens passively.",Deployment,2,Non-Technical,active
feature-flag,Feature Flag,A configuration switch that lets teams turn a feature on or off (or roll it out to a subset of users) without deploying new code.,"A powerful tool for controlled, gradual rollouts and quick rollback if something goes wrong — lets teams decouple deploying code from actually releasing a feature to users.",Deployment,1,Non-Technical,active
general-availability,General Availability (GA),"The stage at which a product or feature is fully released and available to all customers, with full support commitments.","The final stage after earlier phases like Alpha, Beta, or limited rollout — signals the feature is considered stable and production-ready for everyone.",Deployment,2,Non-Technical,active
release-notes,Release Notes,"A document communicating what changed in a new release — new features, fixes, and known issues.","Serves both external users (what's new) and internal teams (support, sales) who need to know what changed to do their jobs.",Deployment,1,Non-Technical,active
release-plan,Release Plan,A plan outlining what will be included in an upcoming release and the timeline/process for getting it out.,"Coordinates the scope, sequencing, and readiness checks (QA, documentation, communication) needed before a release ships.",Deployment,1,Non-Technical,active
rollback,Rollback,Reverting a system to a previous version after a deployment causes problems.,"A critical safety mechanism — the ability to quickly and reliably roll back is why teams invest in good deployment practices and Feature Flags, which make rollback faster than a full redeploy.",Deployment,1,Non-Technical,active
ship,Ship,Common shorthand in tech for releasing a product or feature to users.,"Casual, ubiquitous term ('we shipped it Friday') — used interchangeably with 'release' or 'launch,' though 'ship' often implies a smaller/incremental release rather than a major launch event.",Deployment,2,Non-Technical,active
sunsetting,Sunsetting,The deliberate process of winding down and eventually discontinuing a product or feature.,"See End-of-Life (EOL) — sunsetting emphasizes the gradual, managed process (communication, migration support) rather than just the final discontinuation date.",Deployment,2,Non-Technical,active
technical-debt,Technical Debt,"The implied future cost of choosing a faster, easier engineering solution now instead of a better, more robust one — the accumulated cost of shortcuts.","Like financial debt, it can be a reasonable tradeoff in the short term but accrues 'interest' (slower future development, more bugs) if never paid down — PMs need to budget time to address it, not just keep adding features on top.",Deployment,1,Non-Technical,active
user-acceptance-testing,User Acceptance Testing,Testing performed by actual end users (or their representatives) to confirm a product meets their needs before final release.,"The final validation step before release, focused on real-world usability and correctness from the user's perspective rather than just technical functionality.",Deployment,2,Non-Technical,active
captive-product-pricing,Captive Product Pricing,"A pricing strategy where a core product is sold cheaply (or at a loss) while complementary, required add-ons are sold at a higher margin.",Classic example: cheap printers with expensive ink cartridges. Relevant to PMs designing pricing/packaging strategy for products with a core-plus-consumables or core-plus-add-ons structure.,Go-To-Market,2,Non-Technical,active
commercialization,Commercialization,The process of bringing a product to market and turning it into a revenue-generating business offering.,"Encompasses pricing, packaging, sales enablement, and launch — the business-facing counterpart to the technical work of building the product.",Go-To-Market,2,Non-Technical,active
competitive-analysis,Competitive Analysis,"A systematic evaluation of competitors' products, strategies, and positioning to inform a company's own strategy.",A foundational input to Product Strategy and Positioning — helps a team understand where they have a genuine advantage versus where they're just following the market.,Go-To-Market,2,Non-Technical,active
competitive-intelligence,Competitive Intelligence,The ongoing practice of gathering and analyzing information about competitors to inform strategic decisions.,"Distinct from a one-time Competitive Analysis — competitive intelligence is a continuous monitoring function, often owned by product marketing or a dedicated team in larger organizations.",Go-To-Market,2,Non-Technical,active
competitive-landscape,Competitive Landscape,The overall set of competitors and alternative solutions a product competes against in its market.,"Understanding the full landscape (including indirect competitors and substitute solutions, not just direct competitors) is essential for accurate Positioning.",Go-To-Market,2,Non-Technical,active
competitor-analysis,Competitor Analysis,Same as Competitive Analysis — evaluating competitors to inform strategy.,See Competitive Analysis.,Go-To-Market,1,Non-Technical,active
customer-relationship-management,Customer Relationship Management (CRM),"A system and set of practices for managing a company's interactions and relationships with current and prospective customers, typically centered on a CRM software platform.","PMs building sales or customer-facing tools frequently need to integrate with a CRM (like Salesforce or HubSpot), since it's often the system of record for customer/account data.",Go-To-Market,2,Non-Technical,active
early-access,Early Access,Making a product or feature available to a limited group of users before its full public release.,Similar to Beta Test but often framed more as a marketing/exclusivity opportunity than a pure testing exercise — used to build anticipation and gather early feedback simultaneously.,Go-To-Market,2,Non-Technical,active
early-adopter,Early Adopter,"A customer segment willing to try new products before they're widely proven, often more tolerant of rough edges in exchange for being first.","A key audience for early product validation and Beta Test programs; per Everett Rogers' diffusion of innovation model, early adopters come right after 'innovators' and ahead of the mainstream majority.",Go-To-Market,2,Non-Technical,active
gtm,GTM (Go-to-Market Strategy),"The plan for how a product will reach its target customers and achieve adoption — covering positioning, pricing, channels, and launch approach.","Coordinates product, marketing, and sales around a shared plan for how a specific product or feature will actually get in front of, and adopted by, its intended customers.",Go-To-Market,1,Non-Technical,active
in-app-messaging,In-App Messaging,"Communications (announcements, tips, prompts) delivered to users directly within a product's interface, rather than via email or other external channels.","A common channel for onboarding guidance, feature announcements, and engagement nudges, since it reaches users at the moment they're already using the product.",Go-To-Market,2,Non-Technical,active
internationalization,Internationalization,"Designing and building a product so it can be adapted to different languages, regions, and cultures without requiring engineering rework for each one.",The technical groundwork (often abbreviated i18n) that makes Localization possible — internationalization is the enabling architecture; localization is the actual per-market adaptation.,Go-To-Market,2,Non-Technical,active
kras,KRAs (Key Result Areas),"The specific areas of responsibility or outcome a role or team is accountable for, used to define performance expectations.","A broader, more qualitative performance-management concept than the more specific, measurable Key Results within an OKR framework, though the terms are sometimes used loosely and interchangeably.",Go-To-Market,2,Non-Technical,active
learning-management-system,Learning Management System (LMS),"Software used to deliver, track, and manage training or educational content.","Relevant to PMs building products with an internal or customer-facing training/certification component, or when a company evaluates LMS platforms for internal enablement.",Go-To-Market,2,Non-Technical,active
localization,Localization,"Adapting a product's content, language, currency, and cultural references for a specific market or region.","Builds on Internationalization's technical foundation — localization is the market-specific execution, translating and adjusting content for a given locale.",Go-To-Market,2,Non-Technical,active
market-analysis,Market Analysis,"Research into a market's size, trends, customer needs, and competitive dynamics to inform strategic decisions.","A foundational input to product strategy and go-to-market planning, typically conducted before or alongside a significant product investment decision.",Go-To-Market,2,Non-Technical,active
market-segmentation,Market Segmentation,Dividing a broad market into distinct groups of customers with similar needs or characteristics.,"Enables more targeted product, pricing, and messaging decisions than treating the whole market as homogeneous; see also User Segment for the product-usage-focused counterpart.",Go-To-Market,1,Non-Technical,active
market-validation,Market Validation,"Confirming, through real evidence, that there is genuine market demand for a product idea before fully committing resources to build it.","A go-to-market-oriented complement to Customer Validation — focuses on whether a broad enough market exists, not just whether individual customers respond well.",Go-To-Market,2,Non-Technical,active
moment-of-truth,Moment of Truth,"A critical point in the customer experience that significantly shapes their perception of a brand or product, positive or negative.","A marketing/CX concept (popularized by Procter & Gamble) highlighting that certain interactions — first use, a support issue, a renewal decision — matter disproportionately to overall customer sentiment.",Go-To-Market,2,Non-Technical,active
omnichannel,Omnichannel,"A strategy providing a seamless, integrated customer experience across multiple channels (web, mobile, in-store, support) that work together rather than in isolation.","Distinct from simply being present on multiple channels — omnichannel specifically means those channels are connected and consistent, so a customer's experience carries over between them.",Go-To-Market,2,Non-Technical,active
pricing-strategy,Pricing Strategy,"The overall approach a company takes to setting prices for its products, balancing customer willingness to pay, competitive positioning, and business goals.","A major strategic lever PMs influence — pricing model choice (subscription, usage-based, freemium, tiered) shapes growth dynamics as much as the product itself does.",Go-To-Market,2,Non-Technical,active
product-launch,Product Launch,"The coordinated release of a new product or major feature to the market, typically involving marketing, sales, and support alongside the product team.","Distinguished from a routine Feature Release by its scale and cross-functional coordination — a launch is a planned event, not just a deploy.",Go-To-Market,1,Non-Technical,active
product-launch-management,Product Launch Management,The discipline of planning and coordinating all the cross-functional work required for a successful product launch.,See Product Launch Manager — the practice that role is responsible for executing.,Go-To-Market,2,Non-Technical,active
product-launch-timeline,Product Launch Timeline,The schedule of milestones and activities leading up to and following a product launch.,"Coordinates dependencies across product, marketing, sales, and support so all pieces (documentation, training, press, in-product rollout) are ready by launch day.",Go-To-Market,2,Non-Technical,active
product-marketing,Product Marketing,"The discipline responsible for positioning, messaging, and go-to-market execution for a product.","See Product Marketing Manager — the function that role owns, bridging product and the market.",Go-To-Market,2,Non-Technical,active
product-profitability,Product Profitability,A measure of how much profit a product generates relative to the cost of building and operating it.,A key input to portfolio decisions — informs which products deserve continued investment and which may need to be sunset or restructured.,Go-To-Market,2,Non-Technical,active
product-led-growth,Product-Led Growth (PLG),"A go-to-market strategy where the product itself — not sales or marketing — is the primary driver of customer acquisition, conversion, and expansion.","Relies on users being able to discover, try, and get value from a product with minimal friction (often via free trials or freemium tiers) before ever talking to sales — a major shift from traditional sales-led B2B go-to-market.",Go-To-Market,1,Non-Technical,active
research-development,Research & Development,"The organizational function focused on researching and developing new products, technologies, or significant improvements to existing ones.","Broader than a single product team's discovery work — R&D often refers to a company-wide or division-wide function, sometimes encompassing more exploratory, longer-horizon work than typical product roadmaps.",Go-To-Market,2,Non-Technical,active
sales-funnel,Sales Funnel,The stages a prospective customer moves through from initial awareness to becoming a paying customer.,The sales-specific version of the general Funnel concept — tracked to identify where prospects are dropping off in the buying process.,Go-To-Market,2,Non-Technical,active
